id;status;duration;credit_history;purpose;credit_amount;savings/bonds;employment_duration;installment_rate;personal_status_and_sex;other_debtors;residence_duration;property;age;installment_plans;housing;number_of_credits;job;people_liable;telephone;foreign_worker;credit_risk;predicted_label
160;4;6;4;3;1898;5;3;1;3;1;2;1;34;3;2;2;2;2;1;1;0;0
161;4;24;4;3;2872;2;5;3;3;1;4;1;36;3;2;1;3;2;2;1;0;0
162;4;18;4;0;1055;1;2;4;2;1;1;2;30;3;2;2;3;1;1;1;0;0
167;1;18;2;2;1131;1;1;4;2;1;2;3;33;3;2;1;3;1;1;1;1;1
168;2;11;2;2;1577;4;2;4;2;1;1;1;20;3;2;1;3;1;1;1;0;0
169;4;24;2;2;3972;1;4;2;2;1;4;2;25;3;1;1;3;1;2;1;0;0
172;4;12;2;2;763;1;3;4;2;1;1;1;26;3;2;1;3;1;2;1;0;0
179;4;12;2;3;1963;1;4;4;3;1;2;3;31;3;1;2;4;2;2;1;0;0
183;1;21;1;0;1647;5;3;4;3;1;2;2;40;3;2;2;2;2;1;1;1;0
188;2;16;4;0;1175;1;1;2;3;1;3;3;68;3;3;3;1;1;2;1;0;0
189;1;12;2;3;674;2;4;4;4;1;1;2;20;3;2;1;3;1;1;1;1;0
191;4;24;2;9;4591;4;3;2;3;1;3;2;54;3;2;3;4;1;2;1;1;0
192;2;48;0;9;3844;2;4;4;3;1;4;4;34;3;3;1;2;2;1;1;1;1
193;2;27;2;9;3915;1;3;4;3;1;2;3;36;3;2;1;3;2;2;1;1;1
195;2;45;2;3;3031;2;3;4;3;3;4;2;21;3;1;1;3;1;1;1;1;0
200;2;18;3;2;4297;1;5;4;1;1;3;4;40;3;2;1;4;1;2;1;1;0
201;4;9;4;6;936;3;5;4;3;1;2;3;52;3;2;2;3;1;2;1;0;0
206;1;30;4;1;10623;1;5;3;3;1;4;4;38;3;3;3;4;2;2;1;0;1
217;1;18;0;9;3104;1;4;3;3;1;1;2;31;1;2;1;3;1;2;1;0;1
220;4;10;2;0;1364;1;3;2;2;1;4;3;64;3;2;1;3;1;2;1;0;0
221;2;12;2;3;625;1;2;4;4;3;1;1;26;1;2;1;2;1;1;1;0;1
222;1;12;2;6;1200;5;3;4;2;1;4;2;23;1;1;1;3;1;2;1;0;1
229;4;9;2;3;1478;1;4;4;3;1;2;3;22;3;2;1;3;1;1;1;1;0
230;1;24;2;2;3149;1;2;4;3;1;1;4;22;1;3;1;3;1;1;1;0;1
235;4;4;4;3;1544;1;4;2;3;1;1;1;42;3;2;3;2;2;1;1;0;0
236;1;24;2;3;1823;1;1;4;3;1;2;3;30;2;2;1;4;2;1;1;1;1
237;2;6;2;0;14555;5;1;1;3;1;2;2;23;3;2;1;1;1;2;1;1;0
255;2;9;2;2;2030;5;4;2;3;1;1;3;24;3;2;1;3;1;2;1;0;0
258;1;12;1;3;2149;1;3;4;1;1;1;4;29;3;3;1;3;1;1;1;1;1
259;4;15;2;1;3812;2;2;1;2;1;4;3;23;3;2;1;3;1;2;1;0;0
260;4;11;4;3;1154;2;1;4;2;1;4;1;57;3;2;3;2;1;1;1;0;0
262;1;24;2;3;1603;1;5;4;2;1;4;3;55;3;2;1;3;1;1;1;0;1
264;4;12;4;6;2748;1;5;2;2;1;4;4;57;1;3;3;2;1;1;1;0;0
269;1;14;2;0;8978;1;5;1;1;1;4;2;45;3;2;1;4;1;2;2;1;0
272;4;12;4;2;1402;3;4;3;2;1;4;3;37;3;1;1;3;1;2;1;0;0
274;2;48;2;3;3060;1;4;4;3;1;4;1;28;3;2;2;3;1;1;1;1;1
277;4;18;4;3;2404;1;3;2;2;1;2;3;26;3;2;2;3;1;1;1;0;0
278;1;12;2;2;1262;5;5;2;1;1;4;2;49;3;2;1;2;1;2;1;0;0
280;4;24;2;3;1901;2;3;4;3;1;4;3;29;3;1;1;4;1;2;1;0;0
283;3;18;1;3;1445;5;4;4;3;1;4;3;49;1;2;1;2;1;1;1;0;0
284;4;15;4;2;1520;5;5;4;3;1;4;2;63;3;2;1;3;1;1;1;0;0
290;1;24;3;3;1024;1;2;4;4;1;4;1;48;2;2;1;3;1;1;1;1;1
292;2;36;2;1;9398;1;2;1;4;1;4;3;28;3;1;1;4;1;2;1;1;1
294;3;42;4;1;4796;1;5;4;3;1;4;4;56;3;3;1;3;1;1;1;0;0
297;4;12;2;1;4675;5;2;1;2;1;4;3;20;3;1;1;3;1;1;1;0;0
298;4;10;2;0;1287;5;5;4;3;2;2;2;45;3;2;1;2;1;1;2;0;0
300;2;21;4;2;2745;4;4;3;3;1;2;3;32;3;2;2;3;1;2;1;0;0
302;2;36;0;3;3804;1;3;4;2;1;1;3;42;3;2;1;3;1;2;1;1;1
303;3;24;4;0;1344;5;4;4;3;1;2;1;37;1;2;2;2;2;1;1;1;0
305;4;48;4;0;10127;3;3;2;3;1;2;4;44;1;3;1;3;1;1;1;1;0
309;2;8;2;2;1237;1;3;3;2;1;4;1;24;3;2;1;3;1;1;1;1;0
310;2;9;2;0;276;1;3;4;4;1;4;1;22;3;1;1;2;1;1;1;0;0
318;2;24;2;2;4351;5;3;1;2;1;4;2;48;3;2;1;2;1;2;1;0;0
320;1;15;3;2;3643;1;5;1;2;1;4;2;27;3;2;2;2;1;1;1;0;0
323;1;24;2;1;2910;1;4;2;3;1;1;4;34;3;3;1;4;1;2;1;0;0
329;3;36;2;3;4473;1;5;4;3;1;2;3;31;3;2;1;3;1;1;1;0;0
330;2;6;2;3;1068;1;5;4;3;1;4;3;28;3;2;1;3;2;1;1;0;0
331;1;24;4;1;6615;1;1;2;3;1;4;4;75;3;3;2;4;1;2;1;0;0
333;2;60;2;0;7408;2;2;4;2;1;2;2;24;3;2;1;4;1;1;1;1;1
337;2;13;2;3;2101;1;2;2;2;3;4;2;23;3;2;1;2;1;1;1;0;0
338;1;15;2;4;1275;5;3;4;2;1;2;3;24;3;1;1;3;1;1;1;1;0
339;1;24;2;2;4169;1;3;4;3;1;4;2;28;3;2;1;3;1;1;1;0;1
342;1;21;2;2;3599;1;4;1;2;1;4;3;26;3;1;1;2;1;1;1;0;1
347;2;13;4;3;882;1;2;4;3;3;4;1;23;3;2;2;3;1;1;1;0;0
348;2;24;2;3;3758;3;1;1;2;1;4;4;23;3;1;1;1;1;1;1;0;1
354;1;12;0;3;6199;1;3;4;3;1;2;2;28;3;1;2;3;1;2;1;1;1
356;2;24;2;0;1246;1;2;4;3;1;2;1;23;2;2;1;2;1;1;1;1;0
359;4;12;2;3;776;1;3;4;4;1;2;1;28;3;2;1;3;1;1;1;0;0
369;1;36;2;2;3446;1;5;4;3;1;2;3;42;3;2;1;3;2;1;1;1;1
371;4;36;2;0;3079;5;3;4;3;1;4;1;36;3;2;1;3;1;1;1;0;0
373;4;10;4;2;2146;1;2;1;2;1;3;1;23;3;1;2;3;1;1;1;0;0
374;4;60;4;0;13756;5;5;2;3;1;4;4;63;1;3;1;4;1;2;1;0;0
376;1;48;1;9;7685;1;4;2;2;3;4;3;37;3;1;1;3;1;1;1;1;1
379;2;36;2;0;14318;1;5;4;3;1;2;4;57;3;3;1;4;1;2;1;1;1
380;4;6;4;0;362;2;3;4;2;1;4;3;52;3;2;2;2;1;1;1;0;0
384;3;12;2;0;1330;1;2;4;3;1;1;1;26;3;2;1;3;1;1;1;0;0
387;4;18;2;3;1126;5;2;4;2;1;2;1;21;3;1;1;3;1;2;1;0;0
390;4;9;2;9;1449;1;4;3;2;1;2;3;27;3;2;2;3;1;1;1;0;0
396;2;39;3;6;11760;2;4;2;3;1;3;4;32;3;1;1;3;1;2;1;0;1
402;2;18;4;9;1887;5;3;4;4;1;4;1;28;1;2;2;3;1;1;1;0;0
405;2;18;3;0;2899;5;5;4;3;1;4;3;43;3;2;1;3;2;1;1;0;0
413;4;12;4;9;2292;1;1;4;3;1;2;3;42;2;2;2;4;1;2;1;1;0
424;4;21;3;2;1591;2;4;4;3;1;3;1;34;3;2;2;4;1;1;1;0;0
431;4;5;2;9;3448;1;4;1;3;1;4;1;74;3;2;1;2;1;1;1;0;0
432;2;24;2;10;11328;1;3;2;3;2;3;3;29;1;2;2;4;1;2;1;1;1
434;4;24;4;5;2058;1;3;4;1;1;2;1;33;3;2;2;3;1;2;1;0;0
436;2;12;2;3;1484;5;3;2;4;1;1;1;25;3;2;1;3;1;2;1;1;0
437;4;6;2;5;660;3;4;2;4;1;4;1;23;3;1;1;2;1;1;1;0;0
448;2;7;2;3;2576;1;3;2;3;3;2;1;35;3;2;1;3;1;1;1;0;0
449;3;12;2;2;1424;5;5;3;2;1;4;1;55;3;2;1;4;1;2;1;0;0
456;4;24;2;1;2679;1;2;4;2;1;1;4;29;3;2;1;4;1;2;1;0;0
464;2;12;2;8;754;5;5;4;3;1;4;2;38;3;2;2;3;1;1;1;0;0
466;1;24;2;1;2924;1;3;3;3;3;4;4;63;1;2;1;3;2;2;1;0;1
474;4;6;2;8;1238;5;1;4;3;1;4;2;36;3;2;1;4;2;2;1;0;0
476;1;18;0;2;3114;1;2;1;2;1;4;2;26;3;1;1;3;1;1;1;1;1
478;3;24;2;3;5152;1;4;4;3;1;2;3;25;1;2;1;3;1;1;1;0;1
480;1;15;4;2;1478;1;5;4;3;1;4;3;44;3;2;2;3;2;2;1;0;0
481;2;12;4;3;3573;1;3;1;2;1;1;1;23;3;2;1;2;1;1;1;0;0
486;2;6;3;0;1209;1;1;4;3;1;4;2;47;3;2;1;4;1;2;1;1;0
493;4;6;4;3;1237;2;3;1;2;1;1;2;27;3;2;2;3;1;1;1;0;0
504;2;24;4;3;1216;2;2;4;3;1;4;4;38;1;2;2;3;2;1;1;1;1
507;3;15;4;1;2360;3;3;2;3;1;2;3;36;3;2;1;3;1;2;1;0;0
511;1;12;2;0;759;1;4;4;3;1;2;1;26;3;2;1;3;1;1;1;1;0
514;2;12;3;3;585;1;3;4;4;2;4;1;20;3;1;2;3;1;1;1;0;0
515;4;24;2;0;2255;5;2;4;3;1;1;2;54;3;2;1;3;1;1;1;0;0
516;1;6;4;0;609;1;4;4;2;1;3;2;37;3;2;2;3;1;1;2;0;0
520;4;6;4;3;700;5;5;4;3;1;4;4;36;3;3;2;3;1;1;1;0;0
523;1;48;0;2;7119;1;3;3;3;1;4;4;53;3;3;2;3;2;1;1;1;1
524;4;24;2;1;3488;2;4;3;2;1;4;3;23;3;2;1;3;1;1;1;0;0
525;2;18;2;3;1113;1;3;4;2;3;4;1;26;3;2;1;2;2;1;1;0;0
529;1;36;2;3;2302;1;3;4;1;1;4;3;31;3;1;1;3;1;1;1;1;1
531;2;36;2;6;2273;1;4;3;3;1;1;3;32;3;2;2;3;2;1;1;0;1
533;4;12;3;1;1503;1;3;4;4;1;4;1;41;3;1;1;3;1;1;1;0;0
534;4;24;2;3;1311;2;4;4;4;1;3;2;26;3;2;1;3;1;2;1;0;0
535;4;24;2;3;3105;5;2;4;3;1;2;3;25;3;2;2;3;1;1;1;0;0
538;2;18;4;2;3612;1;5;3;2;1;4;2;37;3;2;1;3;1;2;1;0;0
542;4;24;3;0;2032;1;5;4;3;1;4;4;60;3;3;2;3;1;2;1;0;0
543;1;30;2;2;6350;5;5;4;3;1;4;2;31;3;2;1;3;1;1;1;1;0
545;4;12;4;0;1255;1;5;4;3;1;4;1;61;3;2;2;2;1;1;1;0;0
548;4;24;2;3;1552;1;4;3;3;1;1;3;32;1;2;1;3;2;1;1;0;0
549;1;12;1;3;626;1;3;4;2;1;4;1;24;1;2;1;2;1;1;1;1;1
552;4;6;1;3;1750;3;5;2;3;1;4;2;45;1;2;1;2;2;1;1;0;0
561;1;24;2;1;2964;5;5;4;3;1;4;4;49;1;3;1;3;2;2;1;0;0
563;3;6;3;3;683;1;2;2;2;1;1;2;29;1;2;1;3;1;1;1;0;0
564;2;36;2;0;12389;5;3;1;3;1;4;4;37;3;3;1;3;1;2;1;1;0
565;2;24;3;9;4712;5;3;4;3;1;2;2;37;1;2;2;4;1;2;1;0;0
571;1;24;2;2;3234;1;2;4;2;1;4;1;23;3;1;1;2;1;2;1;1;1
572;4;30;4;3;5954;1;4;3;3;2;2;3;38;3;2;1;3;1;1;1;0;0
576;4;15;4;2;2788;1;4;2;2;2;3;3;24;1;2;2;3;1;1;1;0;0
579;2;36;4;0;2820;1;2;4;1;1;4;3;27;3;2;2;3;1;1;1;1;1
580;4;24;2;8;937;1;2;4;4;1;3;3;27;3;2;2;2;1;1;1;0;0
583;4;9;2;2;1388;1;3;4;2;1;2;1;26;3;1;1;3;1;1;1;0;0
588;1;12;2;2;1289;1;3;4;3;3;1;2;21;3;2;1;2;1;1;1;0;0
591;1;12;4;3;385;1;4;4;2;1;3;1;58;3;2;4;2;1;2;1;0;0
595;1;24;1;10;1358;5;5;4;3;1;3;3;40;2;2;1;4;1;2;1;1;0
599;4;18;4;0;2775;1;4;2;3;1;2;2;31;1;2;2;3;1;1;1;1;0
603;2;24;1;6;1837;1;4;4;2;1;4;4;34;1;3;1;2;1;1;1;1;1
609;4;18;2;3;2051;1;2;4;3;1;1;1;33;3;2;1;3;1;1;1;0;0
615;4;18;3;2;1808;1;4;4;2;1;1;1;22;3;2;1;3;1;1;1;1;0
621;2;21;4;9;3652;1;4;2;3;1;3;2;27;3;2;2;3;1;1;1;0;0
627;3;6;2;2;2116;1;3;2;3;1;2;1;41;3;2;1;3;1;2;1;0;0
631;1;24;2;3;3660;1;3;2;2;1;4;3;28;3;2;1;3;1;1;1;0;1
633;2;15;2;3;1444;5;2;4;3;1;1;2;23;3;2;1;3;1;1;1;0;0
634;4;9;2;2;1980;1;2;2;2;2;2;3;19;3;1;2;3;1;1;1;1;0
635;2;24;2;0;1355;1;2;3;2;1;4;3;25;3;2;1;2;1;2;1;1;1
648;4;12;2;0;1386;3;3;2;2;1;2;2;26;3;2;1;3;1;1;1;1;0
654;2;36;3;0;8086;2;5;2;3;1;4;3;42;3;2;4;4;1;2;1;1;0
658;4;48;2;3;10222;5;4;4;3;1;3;3;37;2;2;1;3;1;2;1;0;0
659;2;30;0;9;4221;1;3;2;2;1;1;3;28;3;2;2;3;1;1;1;0;1
663;4;21;2;2;2241;1;5;4;3;1;2;1;50;3;2;2;3;1;1;1;0;0
664;2;6;3;2;1050;1;1;4;3;1;1;2;35;2;2;2;4;1;2;1;0;0
665;3;6;4;6;1047;1;3;2;2;1;4;2;50;3;2;1;2;1;1;1;0;0
666;4;24;4;10;6314;1;1;4;3;2;2;4;27;1;2;2;4;1;2;1;0;0
668;4;48;1;9;3609;1;3;1;2;1;1;1;27;2;2;1;3;1;1;1;0;0
669;1;12;4;0;4843;1;5;3;3;2;4;2;43;3;1;2;3;1;2;1;1;0
672;4;36;2;9;5742;2;4;2;3;1;2;3;31;3;2;2;3;1;2;1;0;0
676;4;30;4;3;4530;1;4;4;2;1;4;3;26;3;1;1;4;1;2;1;0;0
678;2;72;2;3;5595;2;3;2;4;1;2;3;24;3;2;1;3;1;1;1;1;1
679;1;24;2;3;2384;1;5;4;3;1;4;1;64;1;1;1;2;1;1;1;0;1
680;4;18;2;3;1453;1;2;3;2;1;1;1;26;3;2;1;3;1;1;1;0;0
682;4;12;2;3;2279;5;3;4;3;1;4;4;37;3;3;1;3;1;2;1;0;0
683;4;15;3;3;1478;1;3;4;4;1;3;1;33;1;2;2;3;1;1;1;0;0
684;4;24;4;3;5103;1;2;3;4;1;3;4;47;3;3;3;3;1;2;1;0;0
692;2;15;2;5;2631;2;3;3;2;1;2;1;25;3;2;1;2;1;1;1;0;0
697;2;12;2;3;1103;1;4;4;3;3;3;1;29;3;2;2;3;1;1;2;0;0
699;4;18;4;3;1800;1;3;4;3;1;2;3;24;3;2;2;3;1;1;1;0;0
700;3;15;2;6;1905;1;5;4;3;1;4;3;40;3;1;1;4;1;2;1;0;0
706;4;15;2;0;5324;3;5;1;2;1;4;4;35;3;3;1;3;1;1;1;0;0
710;2;9;2;3;2118;1;3;2;3;1;2;1;37;3;2;1;2;2;1;1;0;0
716;4;30;4;1;7596;5;5;1;3;1;4;3;63;3;2;2;3;1;1;1;0;0
718;4;18;2;3;1505;1;3;4;3;1;2;4;32;3;3;1;4;1;2;1;0;0
719;3;24;4;3;3148;5;3;3;3;1;2;3;31;3;2;2;3;1;2;1;0;0
723;1;12;2;0;1228;1;3;4;2;1;2;1;24;3;2;1;2;1;1;1;1;0
725;4;27;2;0;2570;1;3;3;2;1;3;1;21;3;1;1;3;1;1;1;1;0
726;4;6;4;0;250;4;3;2;2;1;2;1;41;1;2;2;2;1;1;1;0;0
727;4;15;4;3;1316;3;3;2;4;1;2;2;47;3;2;2;2;1;1;1;0;0
730;3;24;4;9;1275;4;3;2;1;1;4;1;36;3;2;2;3;1;2;1;0;0
740;2;30;0;9;4280;2;3;4;2;1;4;3;26;3;1;2;2;1;1;1;1;1
743;4;21;2;3;3160;5;5;4;3;1;3;2;41;3;2;1;3;1;2;1;0;0
746;1;13;4;9;1797;1;2;3;3;1;1;2;28;1;2;2;2;1;1;1;0;1
747;1;15;2;0;2511;1;1;1;2;1;4;3;23;3;1;1;3;1;1;1;0;1
752;1;18;2;0;976;1;2;1;2;1;2;3;23;3;2;1;2;1;1;1;1;1
756;1;24;2;0;1285;5;4;4;2;1;4;4;32;3;1;1;3;1;1;1;1;1
757;3;6;4;0;1299;1;3;1;3;1;1;1;74;3;2;3;1;2;1;2;0;0
762;1;18;4;2;2124;1;3;4;2;1;4;1;24;3;1;2;3;1;1;1;1;0
764;4;21;4;0;12680;5;5;4;3;1;4;4;30;3;3;1;4;1;2;1;1;0
767;1;30;2;2;3108;1;2;2;1;1;4;2;31;3;2;1;2;1;1;1;1;1
769;2;12;4;2;3617;1;5;1;3;1;4;3;28;3;1;3;3;1;2;1;0;0
773;4;21;4;1;3275;1;5;1;3;1;4;3;36;3;2;1;4;1;2;1;0;0
775;3;12;4;0;1480;3;1;2;3;1;4;4;66;1;3;3;1;1;1;1;0;0
780;2;18;2;5;3872;1;1;2;2;1;4;3;67;3;2;1;3;1;2;1;0;1
782;4;24;4;0;1940;4;5;4;3;1;4;1;60;3;2;1;3;1;2;1;0;0
786;2;18;2;9;1941;4;3;4;3;1;2;2;35;3;2;1;2;1;2;1;0;0
787;4;22;2;3;2675;3;5;3;3;1;4;3;40;3;2;1;3;1;1;1;0;0
789;2;48;3;6;6224;1;5;4;3;1;4;4;50;3;3;1;3;1;1;1;1;1
791;2;21;2;9;1188;1;5;2;2;1;4;2;39;3;2;1;3;2;1;1;1;0
792;4;24;2;1;6313;5;5;3;3;1;4;3;41;3;2;1;4;2;2;1;0;0
794;3;24;2;2;2892;1;5;3;1;1;4;4;51;3;3;1;3;1;1;1;0;0
795;4;24;2;2;3062;3;5;4;3;1;3;4;32;3;1;1;3;1;2;1;0;0
797;1;18;2;1;7511;5;5;1;3;1;4;2;51;3;3;1;3;2;2;1;1;0
800;2;9;2;0;1549;5;2;4;3;1;2;1;35;3;2;1;1;1;1;1;0;0
801;4;24;4;6;1597;1;5;4;3;1;4;4;54;3;3;2;3;2;1;1;0;0
802;2;18;4;3;1795;1;5;3;2;3;4;1;48;1;1;2;2;1;2;1;0;0
803;1;20;4;2;4272;1;5;1;2;1;4;2;24;3;2;2;3;1;1;1;0;0
804;4;12;4;3;976;5;5;4;3;1;4;3;35;3;2;2;3;1;1;1;0;0
805;2;12;2;0;7472;5;1;1;2;1;2;1;24;3;1;1;1;1;1;1;0;0
806;1;36;2;0;9271;1;4;2;3;1;1;3;24;3;2;1;3;1;2;1;1;1
807;2;6;2;3;590;1;2;3;4;1;3;1;26;3;2;1;2;1;1;2;0;0
811;2;8;2;9;907;1;2;3;4;1;2;1;26;3;2;1;3;1;2;1;0;0
818;4;6;4;3;1554;1;4;1;2;1;2;3;24;3;1;2;3;1;2;1;0;0
819;1;36;2;10;15857;1;1;2;1;2;3;3;43;3;2;1;4;1;1;1;0;1
832;1;18;2;0;1216;1;2;4;2;1;3;3;23;3;1;1;3;1;2;1;1;1
833;1;45;0;9;11816;1;5;2;3;1;4;3;29;3;1;2;3;1;1;1;1;1
841;1;36;2;2;5179;1;4;4;3;1;2;2;29;3;2;1;3;1;1;1;1;1
843;4;18;2;5;1943;1;2;4;2;1;4;1;23;3;2;1;3;1;1;1;1;0
845;4;18;2;2;3422;1;5;4;3;1;4;2;47;1;2;3;3;2;2;1;0;0
846;2;21;2;2;3976;5;4;2;3;1;3;3;35;3;2;1;3;1;2;1;0;0
847;4;18;2;0;6761;5;3;2;3;1;4;3;68;3;1;2;3;1;1;1;1;0
849;1;9;2;3;1364;1;4;3;3;1;4;1;59;3;2;1;3;1;1;1;0;0
852;4;24;4;1;4042;5;4;3;3;1;4;2;43;3;2;2;3;1;2;1;0;0
854;1;18;1;0;1442;1;4;4;3;1;4;4;32;3;3;2;2;2;1;1;1;1
855;4;36;3;0;10875;1;5;2;3;1;2;3;45;3;2;2;3;2;2;1;0;0
857;4;10;2;8;894;5;4;4;2;1;3;2;40;3;2;1;3;1;2;1;0;0
859;1;15;2;0;3959;1;3;3;2;1;2;2;29;3;2;1;3;1;2;1;1;1
861;4;24;4;1;5804;4;3;4;3;1;2;1;27;3;2;2;3;1;1;1;0;0
871;4;36;3;2;7678;3;4;2;2;1;4;3;40;3;2;2;3;1;2;1;0;0
876;2;11;4;0;1322;4;3;4;2;1;4;3;40;3;2;2;3;1;1;1;0;0
878;4;36;2;3;3595;1;5;4;3;1;2;3;28;3;2;1;3;1;1;1;0;0
884;4;18;4;3;1098;1;1;4;2;1;4;3;65;3;2;2;1;1;1;1;0;0
886;1;12;2;6;795;1;2;4;2;1;4;2;53;3;2;1;3;1;1;1;1;1
888;2;48;2;9;15672;1;3;2;3;1;2;3;23;3;2;1;3;1;2;1;1;1
890;4;28;1;1;7824;5;2;3;3;3;4;1;40;1;1;2;3;2;2;1;0;0
891;1;27;4;9;2442;1;5;4;3;1;4;3;43;2;2;4;4;2;2;1;0;1
892;4;15;4;3;1829;1;5;4;3;1;4;3;46;3;2;2;3;1;2;1;0;0
897;1;21;2;3;2606;1;2;4;2;1;4;2;28;3;1;1;4;1;2;1;0;1
901;1;16;4;0;2625;1;5;2;3;3;4;2;43;1;1;1;3;1;2;1;1;0
905;4;24;2;3;1278;1;5;4;3;1;1;1;36;3;2;1;4;1;2;1;0;0
908;2;36;2;6;3711;5;3;2;4;1;2;3;27;3;2;1;3;1;1;1;0;0
916;2;48;0;10;18424;1;3;1;2;1;2;2;32;1;2;1;4;1;2;2;1;1
918;1;6;2;0;14896;1;5;1;3;1;4;4;68;1;2;1;4;1;2;1;1;1
922;4;48;3;3;12749;3;4;4;3;1;1;3;37;3;2;1;4;1;2;1;0;0
927;1;18;4;2;1049;1;2;4;2;1;4;2;21;3;1;1;3;1;1;1;0;1
932;2;9;2;3;1670;1;2;4;2;1;2;3;22;3;2;1;3;1;2;1;1;0
934;4;12;4;3;522;3;5;4;3;1;4;2;42;3;2;2;3;2;2;1;0;0
937;3;9;2;3;745;1;3;3;2;1;2;1;28;3;2;1;2;1;1;1;1;0
939;2;60;2;6;6288;1;3;4;3;1;4;4;42;3;3;1;3;1;1;1;1;1
941;4;12;2;0;3527;5;2;2;3;1;3;2;45;3;2;1;4;2;2;1;0;0
942;4;10;2;0;1546;1;3;3;3;1;2;1;31;3;2;1;2;2;1;2;0;0
945;1;15;2;2;1845;1;2;4;2;3;1;2;46;3;1;1;3;1;1;1;0;1
948;4;12;2;0;2859;5;1;4;3;1;4;4;38;3;2;1;4;1;2;1;0;0
949;4;18;2;2;1533;1;2;4;4;2;1;2;43;3;2;1;2;2;1;1;1;0
951;2;18;4;9;3590;1;1;3;4;1;3;3;40;3;2;3;1;2;2;1;0;1
954;4;36;2;2;10974;1;1;4;2;1;2;3;26;3;2;2;4;1;2;1;1;1
967;2;27;4;3;2520;3;3;4;3;1;2;2;23;3;2;2;2;1;1;1;1;0
970;1;11;4;0;3939;1;3;1;3;1;2;1;40;3;2;2;2;2;1;1;0;0
